,y
26158,0
11047,0
29260,0
18601,0
21500,0
11600,0
19323,0
24011,0
11104,0
8762,0
9172,0
20508,0
26841,0
41163,1
19289,0
40028,0
15988,0
5749,0
40982,1
40268,0
27335,0
11534,0
25182,0
844,0
17629,0
21431,0
20083,0
41670,0
44806,0
21266,0
10589,0
34889,0
20327,0
36154,0
23630,0
11311,0
39451,0
7521,0
30411,0
8624,0
1330,0
26445,0
9514,0
24040,1
35802,0
7547,0
37569,0
35355,0
38869,1
44256,1
22599,0
27306,0
39539,0
22739,0
29010,0
23871,0
30251,0
42268,1
31413,1
31206,1
26084,0
18780,1
35893,0
30893,0
38230,0
33659,0
26717,0
23551,0
22950,0
33905,0
41818,0
15837,0
11777,1
5577,0
43121,0
17822,0
15363,0
40097,1
29029,0
28235,0
41324,0
2750,0
16044,0
10503,1
12146,0
19309,0
12602,0
14939,0
33695,0
19495,0
2924,0
13024,0
24394,0
33460,1
41548,0
39428,0
13995,0
27833,0
23325,0
19187,0
26529,0
29003,0
40603,0
20231,0
36318,0
13211,0
15873,0
24258,0
15017,1
1660,0
42878,0
36019,0
8121,0
25564,0
28824,0
14474,0
2758,0
18456,0
29591,0
3849,0
18518,1
30198,0
42809,0
5686,0
38277,0
4947,0
4267,0
24253,0
24377,0
16424,0
14324,0
13838,0
29850,0
28135,0
13092,0
6129,0
7866,1
3688,0
38962,0
15257,0
15747,0
17974,0
13324,0
7125,0
14636,0
23762,0
8387,0
43051,0
13157,0
29044,0
14993,0
16956,0
17137,0
5796,0
10262,0
34869,0
3048,0
17449,0
22885,0
43720,1
2441,0
17542,0
23852,0
6394,0
28091,0
21399,0
12112,0
12609,0
40792,0
24513,0
35056,0
5018,0
30816,0
24721,0
14421,0
15161,0
24151,0
11239,0
14121,0
44289,1
44028,0
9710,0
38649,0
34574,0
27093,0
34937,1
15425,0
25494,0
22735,0
41110,0
34214,0
17845,0
44454,1
30315,0
12374,0
27694,0
16408,0
20784,0
43078,0
36528,0
12845,0
34019,0
45030,0
26821,1
28459,0
127,0
31675,0
25063,0
43031,1
26326,0
36770,0
1572,0
6659,0
43153,0
7120,0
10361,0
41276,1
19109,0
29900,0
39638,1
17784,0
25544,0
24477,0
15804,0
15251,0
25580,0
22054,0
31659,0
13111,1
2678,0
4979,0
30376,0
30160,0
40731,1
15211,0
4566,0
21754,0
31901,0
31858,0
32067,0
36728,0
43461,0
22870,0
41174,1
13147,0
25956,0
26907,0
4407,0
21271,0
10878,0
3457,0
712,0
38951,0
9899,0
39330,0
34272,0
32536,0
16728,1
42909,1
43199,0
35233,0
35382,0
36476,0
22449,0
18605,0
43719,1
40782,0
37866,0
33302,0
31216,0
35352,0
16799,0
37407,0
34738,0
29284,0
1221,0
18250,0
5040,0
28051,0
6681,0
31007,0
23299,0
24341,0
22059,0
30438,0
40906,0
44342,0
24994,0
27560,0
4913,0
36365,0
19751,0
36501,0
21502,0
15830,0
31506,1
43036,1
3177,0
43418,0
20211,0
22570,0
2471,0
27638,0
23921,0
31074,0
25415,0
31256,0
27733,0
1455,0
34331,0
32886,0
39648,0
16618,0
27735,0
15488,0
23014,0
14690,0
11200,0
33480,0
10582,0
24761,0
32959,1
41056,1
18800,0
26893,0
4462,0
28302,0
8389,0
33970,0
10716,0
18220,0
27150,0
3383,0
10082,0
8666,0
43370,1
8690,0
32601,0
4321,0
39947,1
4223,0
20326,0
43254,1
22991,0
644,0
36613,0
22866,0
1201,0
16661,0
15243,0
26895,0
15559,0
30891,0
45190,1
8406,0
19868,0
2724,0
43457,0
40767,0
41638,1
34516,0
2406,0
28733,0
15625,0
33991,0
5302,0
31452,1
22186,0
11217,0
37644,0
8900,0
5438,0
32132,0
5033,0
32879,0
36765,0
8040,0
7348,1
408,0
26936,0
7957,0
35829,0
25622,0
23673,0
29892,0
34995,0
16822,0
18649,0
10774,0
29643,0
10884,0
16632,0
4351,0
30532,0
31626,1
42176,1
12306,0
25456,0
9300,0
12159,1
9538,0
14920,0
19740,0
5671,0
6673,0
3656,0
33022,0
26910,0
4870,0
33064,0
26554,0
23641,0
29229,1
2691,0
24712,0
43115,1
8342,0
7924,0
27389,0
9291,0
21906,0
6686,0
37419,0
16966,0
9655,0
28624,0
12359,1
34287,0
29518,0
38300,1
30707,0
28627,0
20876,0
39184,0
14303,0
23292,0
21082,0
23644,0
43012,0
28319,0
18244,0
16647,0
4288,0
11967,0
32084,0
8299,0
15722,1
12018,0
40666,0
9166,0
41893,0
12236,0
25673,0
9725,0
39704,1
12902,0
27236,0
24563,0
27422,0
27778,0
17181,0
27255,0
20247,0
43812,0
39857,0
19595,0
14467,0
29264,0
11812,0
15230,0
42173,1
42273,0
18124,0
32922,1
21243,0
35311,0
39193,0
30239,0
29633,1
17229,0
31547,0
27345,0
32434,0
27662,0
38831,0
6265,0
23474,0
26223,0
33482,0
172,0
31504,0
33317,0
11817,0
17725,0
28061,0
6270,1
7877,0
19252,0
28368,0
38397,0
7608,0
33709,0
14887,0
32911,0
33887,1
26912,0
3449,0
20323,0
35805,1
11815,0
4626,0
13200,0
43680,1
40393,1
25893,0
13343,0
11501,0
45151,0
35678,0
12311,0
24915,0
11224,0
21304,0
29870,0
20237,0
28334,0
19504,0
32224,0
6859,0
8016,0
26664,0
16888,0
18197,0
37832,0
19491,0
21434,0
9399,0
31994,0
41962,1
1615,0
44067,1
22312,0
6458,0
1851,0
35489,0
40084,1
9939,0
5983,0
40920,0
19990,0
44875,0
22623,0
3998,0
3398,0
24200,0
6412,0
17900,0
40898,0
25091,0
989,0
21068,0
3695,0
39167,0
34008,0
2393,0
9983,0
28000,0
29455,0
25604,0
28838,0
40509,1
30753,0
25399,0
44721,0
34414,0
38338,0
30710,0
7166,0
33105,0
26152,0
20038,0
894,0
19548,0
11002,0
2904,0
8312,0
35196,0
10454,1
16534,0
13418,0
24184,0
16076,0
9841,0
1087,1
34098,1
1370,1
37083,0
11245,0
25809,0
40575,0
10919,0
15058,0
39544,0
8047,0
30448,0
16770,0
1215,0
5827,0
346,0
19400,0
9398,0
4419,0
29216,0
30813,0
18783,0
18632,0
18275,0
27825,0
29556,0
28878,0
21165,0
21635,0
41193,1
41952,0
12262,0
1231,0
28362,0
4939,0
44471,0
21470,0
26091,0
45105,0
26937,0
5812,0
10945,0
15065,0
39142,0
25099,0
17462,0
22372,0
12915,0
40065,1
19978,0
43178,1
42208,0
28293,0
36708,0
21537,0
12558,0
15273,0
41545,0
42985,1
14835,0
3809,0
10416,1
15805,0
41898,0
5530,0
25593,0
35460,0
20005,0
35268,1
33999,0
37016,0
18423,0
24390,1
1164,0
2278,0
29217,0
15825,0
17033,0
20384,0
4107,0
20255,0
24764,0
11529,0
10921,0
42742,0
19430,0
2186,0
28281,0
10216,0
17967,0
23047,1
43006,1
1060,0
5126,0
27802,0
39083,0
13477,0
21734,0
30916,0
19387,0
6609,0
133,0
30869,0
27295,0
9561,0
26346,0
12998,1
28101,0
24125,0
26867,0
31065,1
25624,0
10064,0
14557,0
40281,0
19922,1
17708,0
32862,0
22131,0
35279,0
43596,1
32154,0
8468,0
5261,0
8739,0
4121,0
12121,0
39974,0
31270,1
23316,0
16815,0
10450,0
22984,0
42523,1
20432,0
12658,0
23671,0
33444,0
379,0
5865,0
20300,0
5254,0
13404,0
37882,0
23672,0
6814,0
8219,0
18466,0
31613,0
22388,0
30604,0
26975,0
12153,0
34689,0
9840,0
5284,0
19903,0
1676,0
7475,0
19143,0
39580,0
30190,0
5691,0
42812,0
36610,0
5973,1
34756,0
18394,0
41739,1
30926,0
28745,0
4065,0
23482,0
39085,0
21436,0
19383,0
35338,0
19614,1
28735,0
20961,0
39401,0
35486,0
42299,0
2626,0
3911,0
9552,0
6084,0
22300,0
5347,0
33714,0
25664,0
10045,0
24665,0
30016,0
28574,0
15022,0
24284,0
6397,0
24510,0
39615,0
39101,0
41034,0
19830,0
39886,1
44938,0
42105,0
43706,1
31709,0
9878,0
9527,0
11302,0
9074,0
39190,0
7902,0
7343,0
18278,0
2405,0
31358,1
32312,1
38938,0
33510,1
8213,1
2492,0
36431,0
36474,0
36483,0
9051,0
18684,0
44372,0
36246,0
16120,0
10355,0
2414,0
42048,1
26842,0
25145,0
9537,0
39646,0
13698,0
5277,0
39150,0
25896,0
16140,1
28705,0
7146,0
20411,0
22982,0
35245,0
36183,0
16053,0
26006,0
40755,0
18040,0
37208,0
41863,1
21860,0
21006,0
23330,0
16919,0
9066,0
30732,1
8025,0
8688,0
36380,0
2540,0
43822,1
36943,0
7516,0
33794,1
21696,0
18000,0
18114,0
28832,0
15690,1
6527,0
15560,0
8546,0
42362,1
37571,0
21292,0
24675,0
24483,0
36915,0
1568,0
25371,0
45016,0
33976,0
35971,0
15301,0
37075,0
8515,0
32693,0
9676,0
28521,0
36537,0
15698,0
2968,0
34934,0
25161,0
36477,0
26766,0
28738,0
28609,0
6354,0
11646,0
33394,0
34423,0
31049,1
11193,0
28156,0
17039,0
1672,0
21931,0
11960,0
14604,0
33419,0
2546,0
40009,0
22386,0
17285,0
6958,0
9151,0
29285,0
29978,0
27303,0
14858,0
7827,0
21868,0
17501,0
27071,0
32788,0
32530,0
44172,0
2536,0
15419,0
3589,0
38817,0
36264,0
44098,1
1937,0
43076,1
14456,1
549,0
1974,0
40060,1
40584,0
1730,0
15936,0
17411,0
44829,1
33573,0
5917,0
26597,0
23466,0
21764,0
10467,0
33745,0
39418,0
13018,0
4646,0
32232,0
4679,0
42747,0
32861,0
28792,0
10890,0
38097,0
25960,0
43010,1
26840,0
18315,0
43702,1
12340,0
19067,0
11992,0
38439,0
22040,0
5654,0
34871,0
15913,0
18897,0
29354,0
2943,0
38493,0
345,0
22772,0
31380,1
14616,0
20171,0
23952,0
19838,0
29080,0
42365,0
43690,1
27420,0
12385,0
25020,0
36803,0
41457,0
10314,0
9336,0
40283,0
42583,0
20581,0
37784,0
14446,0
6149,0
37637,0
34189,0
27839,0
36941,0
29128,0
16339,0
13017,0
4666,0
2195,0
8292,0
3747,0
21741,0
40302,1
19555,0
35626,0
7690,0
8584,0
24852,0
35568,0
17367,0
28153,0
37527,0
41375,0
23431,0
40537,1
1755,0
23158,0
27107,0
2501,0
13022,0
30409,0
6293,0
10547,0
36373,0
20654,0
26103,0
38704,0
22875,1
21044,0
29710,0
35778,0
41676,0
43682,1
20732,0
12235,0
6977,0
7787,0
34513,0
38916,0
34775,0
3487,0
12823,0
21439,0
16891,0
26307,0
7251,0
21166,0
23632,0
32337,0
19837,0
10863,0
5462,0
25348,0
4681,0
18503,0
12707,0
39790,1
23872,0
40935,0
16471,1
9332,0
42030,1
39979,1
4377,1
21396,0
41911,1
40555,1
24688,0
4331,0
16299,0
15746,0
34969,0
18641,0
12011,0
31648,0
11062,0
44003,0
10632,0
38042,0
36907,1
37661,0
36514,1
37501,0
39002,0
31742,0
20253,0
15185,0
24020,0
16922,0
388,1
33880,0
19266,0
36538,1
40515,0
23906,0
41912,1
41160,0
28082,0
14160,1
4451,0
137,0
39397,0
1344,0
31464,0
41357,1
8020,0
42767,1
5519,0
12052,0
14703,0
4144,0
10583,0
37117,1
30068,0
11378,0
30457,0
7295,0
43185,0
8989,0
22402,0
22027,0
27774,0
5267,0
40677,0
31865,0
33587,0
27538,0
1277,0
35264,1
33428,0
32722,0
22891,0
819,0
46,0
20977,0
17785,0
22656,0
23788,0
16816,0
8869,0
16456,0
25270,0
31276,1
32752,0
603,0
32405,0
7104,0
5395,0
30730,0
32582,0
22580,0
1065,0
2664,0
44727,0
40116,0
10154,1
25869,0
1610,0
222,0
27798,0
21283,0
19362,0
1944,0
18667,0
4991,0
21097,0
38786,0
18177,0
9994,0
19388,0
22640,0
397,0
44678,0
19862,0
2129,0
32926,0
28304,0
29990,0
6569,0
39431,0
6486,0
16921,0
3505,0
10624,0
26568,0
34818,0
4938,0
2639,0
15670,0
25863,0
41627,1
27682,0
18014,0
27869,0
24166,0
20095,0
17077,0
13016,0
28648,0
22247,0
8669,0
8284,0
36030,0
4005,0
31443,1
16599,0
40992,0
42447,1
40264,1
29036,1
27842,0
6524,0
12562,0
28094,0
42327,1
21168,0
43310,1
42225,1
42060,1
11790,0
40013,0
18053,0
20169,0
28173,0
2456,0
29623,0
15392,1
43114,0
4813,1
10424,0
33024,1
24575,0
14432,0
45194,0
14473,0
36952,0
31778,0
36309,0
3395,0
5805,0
43837,0
6976,0
39657,0
19807,0
20873,0
39171,0
12183,0
2220,0
30207,0
14269,0
23707,0
38436,0
28252,0
14442,0
31015,1
12566,0
21536,0
17816,0
16082,0
27226,0
30509,0
27187,0
17270,0
16990,0
7249,0
11074,0
4506,0
36335,0
44371,0
33357,0
13517,0
7167,0
39308,0
12237,0
18269,0
38070,0
41829,0
28853,0
6772,0
33815,1
44944,0
25023,0
43970,1
9586,0
13845,0
30268,0
43050,1
16328,0
17213,0
7188,0
7601,0
37646,0
19645,0
44837,0
17479,0
31997,0
7700,0
16350,0
2976,0
4468,0
25245,0
29735,0
23895,0
34228,0
17646,0
29975,0
23363,0
36505,0
14849,0
34476,0
12150,0
383,0
4086,0
25935,0
22892,0
42430,0
39383,1
6564,0
21996,1
14065,0
22922,0
40197,0
267,0
19116,0
41233,0
42179,0
1152,0
33457,0
1192,0
39836,0
14416,0
25469,0
21387,1
20023,1
35223,0
36330,0
39829,0
39925,1
20768,0
37891,0
21260,0
3380,0
11698,0
34999,0
41462,0
19964,0
13377,0
36408,0
32641,0
20748,0
16546,0
43692,0
4294,0
8733,0
32073,0
28095,1
29158,0
13127,0
12992,0
35401,0
35128,0
41389,0
32040,0
35351,0
40766,0
25665,0
27664,0
12294,0
15163,0
44811,1
6234,0
33110,1
40461,1
24851,0
31668,0
272,0
32735,0
10510,0
12140,0
813,0
28781,0
21061,0
6197,0
7630,0
41209,0
4085,0
33140,0
13131,0
24662,0
38626,0
27680,0
21154,0
13209,0
1417,0
18174,0
17864,0
39074,0
26659,0
29084,0
26184,0
35036,0
9061,0
17994,0
16099,0
24148,0
36152,0
3342,0
25886,0
44271,0
35410,0
10804,0
8905,0
10800,0
5552,0
23903,0
39178,0
16968,0
43642,1
24919,0
16253,0
23489,0
40573,0
10672,0
33895,0
41186,1
38751,0
28345,0
34950,0
35388,0
42588,0
31396,1
3691,0
32733,0
8888,0
24263,0
44236,1
30959,1
16757,0
24029,0
30365,0
29589,0
1686,0
26421,0
27631,0
16755,0
9222,0
29327,1
12710,0
14018,0
18960,0
44101,1
28535,0
44574,0
17692,0
539,0
25881,0
43550,0
2685,0
45163,0
537,0
3814,0
12313,0
18582,0
38921,1
10662,0
17151,0
4729,0
1006,0
3230,0
25368,0
20652,0
44583,1
31099,1
4535,0
36509,0
36160,0
8442,1
21726,0
22528,0
15245,0
11344,0
23747,0
25326,0
19604,0
36635,0
36571,0
32998,0
8115,0
43645,0
39038,0
38847,0
17909,0
32898,0
11793,0
9704,0
15929,0
13035,0
39986,1
26367,0
36486,0
6722,0
5466,0
10263,0
41272,0
43590,1
7998,0
36263,0
41386,0
27820,0
39991,0
37354,0
5334,0
19639,0
12747,0
3778,0
30909,1
8811,1
32817,1
25566,0
41851,0
36312,0
31184,1
14048,0
13640,0
30925,0
36643,0
14360,0
40793,1
42130,1
9126,0
29026,0
33938,1
27529,0
14733,0
43528,1
6967,0
21406,0
9846,0
41538,0
34470,0
14117,0
17709,1
35247,0
39635,0
44767,0
4231,0
32715,0
32634,0
9501,0
3358,0
18652,0
13704,0
17100,0
40284,0
35873,0
8278,0
30107,0
630,0
43190,1
16785,0
30088,0
27162,0
22065,0
45087,0
35530,0
12583,0
1921,0
21227,0
28084,0
35954,0
13333,0
9384,0
22297,0
14494,0
30182,0
26466,0
3965,0
2855,0
6628,0
29476,0
13795,0
24878,0
10200,0
32973,0
40891,0
17588,1
43739,1
24743,0
19724,0
31596,0
31168,0
15209,0
11540,0
13088,0
17722,0
11375,0
44856,1
26327,0
20803,0
15224,0
1527,0
13958,0
8037,0
14802,0
17752,0
25325,0
33185,0
4745,0
3611,0
29538,0
35631,0
27641,0
11206,0
15492,0
25748,0
33646,0
13642,0
9091,0
8882,0
19060,1
27831,0
43181,1
15975,0
37011,0
20051,0
20141,0
13620,0
14947,0
30541,0
22877,0
6241,0
34909,0
34609,0
16841,1
36683,0
30768,0
18863,0
10603,0
2764,0
31814,0
24552,0
36734,0
9028,0
28585,0
18132,0
11450,1
24484,0
7576,0
18879,0
44092,1
7744,1
11244,0
23263,1
41600,0
12887,0
17201,0
16935,0
43015,1
7995,0
44461,1
3571,1
6158,0
5713,0
28454,0
22409,1
37522,0
17010,0
41230,1
23875,0
27884,0
28110,0
736,0
27052,0
22670,0
19265,0
33984,1
25997,0
37004,0
20290,0
39884,1
10126,0
10188,0
18628,0
22320,0
10814,0
20221,0
23329,0
14593,0
43013,1
841,0
37683,0
14631,0
22648,0
33746,1
36851,0
6506,0
35360,0
25034,0
3919,0
33969,0
13335,0
34063,1
24536,0
22347,0
4221,0
2545,1
1482,0
27311,0
32831,0
18978,0
43947,1
18911,0
10125,0
12618,0
11924,0
18676,0
23853,0
30817,0
35663,0
4541,0
2951,0
7512,0
6806,0
7836,0
43442,1
33765,1
43023,1
17028,1
39971,0
18149,0
4497,0
45120,1
35347,0
20529,0
22415,0
44032,1
19791,0
42677,1
41453,1
29791,0
37914,0
20793,0
1497,0
22055,0
39747,0
3015,0
8636,0
31323,0
28675,0
762,0
39243,1
40689,1
43889,1
27056,0
37872,0
1280,0
22076,0
28623,0
23716,0
33743,0
423,0
21995,0
26226,0
21674,0
2104,0
2292,0
12355,0
36410,0
25015,0
40617,1
2974,0
37622,1
15269,1
38996,0
41092,0
26172,0
21450,0
13073,0
19497,0
20338,0
15810,0
1977,0
33710,0
28683,0
6047,0
2864,0
18777,0
37158,1
31250,1
12081,0
13853,0
29062,0
20908,0
21289,0
39740,0
23705,0
36166,0
9365,0
18420,0
30833,0
32228,0
20259,0
11471,0
32380,0
40421,1
1838,0
41168,1
2341,0
15870,0
8186,1
9352,0
34990,0
13489,0
5529,0
38539,0
41047,1
8472,0
34081,1
8875,0
2928,0
18238,1
3314,1
34427,0
34270,0
35996,0
44994,1
37003,0
27030,0
14888,0
15494,0
42565,1
22014,0
17966,0
3428,0
44641,1
23916,0
9685,0
44421,0
7397,0
1458,0
574,0
35539,0
24943,0
9622,0
36914,0
18492,0
28059,0
25165,0
23914,0
42927,1
38405,0
29123,0
12095,0
30544,0
12263,0
24419,0
875,0
13944,1
40327,0
6071,0
21291,0
26126,0
35794,0
31189,0
31117,0
42490,0
32499,0
11432,0
24693,0
4499,0
33086,1
31879,0
6496,0
3235,0
37528,0
17215,0
28933,0
16481,0
20347,0
22561,0
1066,0
6717,0
4197,0
28282,0
6850,0
1003,0
14353,1
15523,0
4775,0
30725,0
27412,0
3875,0
25614,0
13290,0
41974,0
23990,0
20087,0
22503,0
6287,0
31393,1
32030,0
10699,0
28353,0
37579,0
27112,0
7572,0
1817,0
10606,0
29605,0
30674,0
31776,0
10457,0
29175,0
7891,0
9402,0
41096,0
6421,0
43571,0
34524,0
29923,0
18320,1
3501,0
20882,1
37455,0
8424,0
18943,0
6936,0
1459,0
34986,0
14133,0
5339,0
16111,0
44326,0
5542,1
17107,0
1805,0
27271,0
22530,0
30754,0
6251,0
37470,0
8593,0
12135,0
30582,0
32556,0
31150,1
11079,0
11236,0
24532,0
30660,0
42956,1
20579,0
20991,0
12521,0
43994,0
15882,0
10867,0
35775,0
2707,0
39492,1
41063,0
2127,0
4253,0
36771,0
17059,0
6130,0
8053,0
40439,1
2572,0
13464,1
7936,0
34700,0
8381,0
9407,0
37655,0
8153,0
31634,0
2052,0
29066,0
14848,1
18385,0
8167,0
8400,0
32070,0
30855,0
43979,0
8148,0
17740,0
5170,0
7180,0
43082,1
4185,1
42474,1
37812,0
16506,0
12495,1
10723,0
29963,0
20641,0
35828,0
32538,0
19448,0
44163,1
18627,0
27079,0
26122,0
2476,0
25319,0
33045,1
42080,1
24604,0
9254,0
25940,0
42650,1
22845,0
40119,1
37964,0
6365,0
21744,0
10508,1
19794,0
11937,0
19630,0
32476,0
21176,1
8814,0
26356,0
27888,0
21217,0
36044,0
8434,0
20998,0
355,0
30257,0
41001,0
37931,0
42151,0
9107,1
39069,0
43099,1
37402,0
14701,0
9420,0
38003,0
22666,0
12251,0
22178,0
25210,0
7013,0
31924,1
17242,0
23622,0
32654,1
4823,0
44822,0
32741,0
28488,0
12651,0
10358,0
16186,0
22655,0
8981,0
7065,0
27471,0
34520,0
41760,0
27094,0
31771,1
7286,0
42906,0
10838,0
27022,0
28584,0
16934,0
9092,0
16904,0
31968,0
28216,0
35322,0
17196,0
40989,0
7900,0
40100,0
29355,0
18357,0
6128,0
8461,0
18970,0
21418,0
34588,0
31662,1
38297,0
43216,1
14449,0
20575,1
15636,0
43372,0
17021,0
12015,0
5788,0
39606,0
42403,1
40162,0
23016,0
8135,0
2515,0
7206,0
407,0
42711,0
25059,0
23991,0
26203,0
33465,0
35455,0
15031,0
36795,0
41416,1
32500,0
23588,0
3640,0
14985,0
6504,0
41536,1
42689,0
6911,0
23851,0
24064,1
11545,0
1514,0
19321,0
39189,0
40585,0
41845,0
38735,0
36393,0
26558,0
9156,0
7981,0
10927,0
21818,0
28361,0
29573,0
26876,0
12873,0
24128,0
1818,0
33487,0
40131,1
21752,0
7173,0
575,0
7350,0
4190,0
24438,0
16701,0
29523,1
34343,0
34017,1
3037,0
5606,0
15900,0
6908,0
30881,0
35937,0
39022,0
9709,0
35191,0
21048,0
32535,0
9169,0
10090,0
9044,1
42563,0
30888,0
30572,0
4210,0
19663,0
4476,0
14758,0
1030,0
35103,0
18287,0
14810,0
35543,0
4802,0
22728,0
43373,0
12711,0
17731,0
33362,0
99,0
7861,0
34955,0
39998,0
42495,1
25143,0
28305,0
13653,0
4895,0
20142,0
24479,0
9454,0
24774,0
41367,0
8222,0
31476,1
41523,0
30234,0
25552,0
27764,0
14247,0
30435,0
41004,0
9297,0
31291,0
44239,1
25081,0
33878,0
9804,0
36039,0
6869,0
25963,0
3773,0
9195,0
5660,0
10472,0
40625,1
43391,0
3788,0
28001,1
28121,0
4689,0
10392,0
20397,0
5157,0
22937,0
32207,0
32663,0
29625,0
31160,0
4400,0
38958,0
30485,0
13791,0
40494,0
38806,0
14658,0
36894,0
21404,0
17552,0
44121,0
13207,0
25571,0
13448,0
9155,0
19251,1
